Inchi_Key1,Inchi_Key2,Similarity_Score
AAAMYWMNTPTTKE-JDNHERCYSA-N,AAAMYWMNTPTTKE-ABKXIKBNSA-N,1
AAJQYMJRUXQQCP-UHFFFAOYSA-N,AABDRJHZBVPFLI-KHPPLWFESA-N,0.6
ADDVYGKGQOBLPI-MFOYZWKCSA-N,AAMBYTNNYPRBFK-UVTDQMKNSA-N,0.57
ADEBPBSSDYVVLD-UHFFFAOYSA-N,ABFVBWQMBVYWMV-UHFFFAOYSA-N,0.54
ADEFBXYZJBCHIN-FCQUAONHSA-N,AAGBKGWTUZNICF-GYHWCHFESA-N,0.62
ADEIHMYSULIEAK-SFHVURJKSA-N,ADEIHMYSULIEAK-GOSISDBHSA-N,1
ADFBGCZUZKLTKQ-YDZHTSKRSA-N,ADFBGCZUZKLTKQ-UHFFFAOYSA-N,1
ADFIYXXUDVLHHC-JZZZJTMASA-N,ABGOGFWQPPIWMO-KCWBWNHQSA-N,0.71
ADFOXNCBBGJEFZ-UHFFFAOYSA-N,ACBOMCMCGRRIIN-UHFFFAOYSA-N,0.8
ADGMDJYORUZUNO-UHFFFAOYSA-N,AAHPRKDUIDQODH-UHFFFAOYSA-N,0.61
ADGVNKJNHPHUCL-UHFFFAOYSA-N,ACPMOXVLJKNTRY-UHFFFAOYSA-N,0.63
ADHBBGZXYNTTLK-BGKGJTHRSA-N,ABLRAGJKLQYRRX-LXHJOMHSSA-N,0.56
ADHBBGZXYNTTLK-LJASKYJCSA-N,ABLRAGJKLQYRRX-LXHJOMHSSA-N,0.56
ADHBBGZXYNTTLK-LJASKYJCSA-N,ADHBBGZXYNTTLK-BGKGJTHRSA-N,1
ADHBJDWCKMOLCA-UHFFFAOYSA-N,AARCKJCHDVEVDV-UHFFFAOYSA-N,0.54
ADHQVVXXMAEVDY-XYOKQWHBSA-N,AAEYZBWTBCAWLV-UUILKARUSA-N,0.68
ADHVTOAGYGEFSM-IBGZPJMESA-N,ABDAGDDZOUDCKI-IBGZPJMESA-N,0.69
ADHVTOAGYGEFSM-IBGZPJMESA-N,ABDAGDDZOUDCKI-UHFFFAOYSA-N,0.69
ADHVTOAGYGEFSM-UHFFFAOYSA-N,ABDAGDDZOUDCKI-IBGZPJMESA-N,0.69
ADHVTOAGYGEFSM-UHFFFAOYSA-N,ABDAGDDZOUDCKI-UHFFFAOYSA-N,0.69
ADHVTOAGYGEFSM-UHFFFAOYSA-N,ADHVTOAGYGEFSM-IBGZPJMESA-N,1
ADHYWKCVZHCYKC-UHFFFAOYSA-N,ABAQWDXYFZGNGR-UHFFFAOYSA-N,0.5
ADJACMYOQMAGTE-SNAWJCMRSA-N,ABNJTLJOBGFVGE-UHFFFAOYSA-N,0.64
