Inchi_Key,Accession
AAAAEENPAALFRN-UHFFFAOYSA-N,P49654
AAABTPAECTZDET-UHFFFAOYSA-N,P06239
AAADMRIIAVPPNA-UHFFFAOYSA-N,P08912
AAADPBLPXCELKR-UHFFFAOYSA-N,P20309
AAADQEFQWNJHOZ-UHFFFAOYSA-N,P23975
AAADQEFQWNJHOZ-UHFFFAOYSA-N,P31645
AAADQEFQWNJHOZ-UHFFFAOYSA-N,Q01959
AAAGFCUDAXPDAA-CIQZPUONSA-N,P56817
AAAHTCZONLHYSA-UHFFFAOYSA-N,Q13547
AAALVYBICLMAMA-UHFFFAOYSA-N,P00533
AAAMYWMNTPTTKE-ABKXIKBNSA-N,P28845
AAAMYWMNTPTTKE-ABKXIKBNSA-N,P50172
AAAMYWMNTPTTKE-JDNHERCYSA-N,P28845
AAAMYWMNTPTTKE-JDNHERCYSA-N,P50172
AAANLCCSPMLHMI-UHFFFAOYSA-N,P29371
AAAOTGDHZDZLFN-UHFFFAOYSA-N,P30968
AAAQFGUYHFJNHI-SFHVURJKSA-N,O60885
AAAQFGUYHFJNHI-SFHVURJKSA-N,P25440
AAAQFGUYHFJNHI-SFHVURJKSA-N,Q15059
AAASTTXAYJCATC-UHFFFAOYSA-N,P12530
AAAXBDFZRXKRPL-UHFFFAOYSA-N,P15056
AABAPQXESPRCSA-UHFFFAOYSA-N,Q99705
AABHSZUTAUSICN-HZJYTTRNSA-N,O42275
AABHSZUTAUSICN-HZJYTTRNSA-N,P22303
AABPDWULYJLDBH-LBPRGKRZSA-N,Q99572
AABPSESTZLBZAJ-UHFFFAOYSA-N,P49682
AABQOSHDRSWHSN-UHFFFAOYSA-N,O95136
AABTVDZTFBSBKN-UHFFFAOYSA-N,P00533
AABTVDZTFBSBKN-UHFFFAOYSA-N,P35968
AABXKSSFGQCWAA-HNNXBMFYSA-N,O00763
AABXKSSFGQCWAA-HNNXBMFYSA-N,Q13085
AABXKSSFGQCWAA-OAHLLOKOSA-N,O00763
AABXKSSFGQCWAA-OAHLLOKOSA-N,Q13085
AACDPQIFRBEZFP-VMPITWQZSA-N,Q9UNQ0
AACFPJSJOWQNBN-UHFFFAOYSA-N,P98161
AACFPJSJOWQNBN-UHFFFAOYSA-N,Q13563
AACHNFJXJZIPFX-UHFFFAOYSA-N,P08253
AACHNFJXJZIPFX-UHFFFAOYSA-N,P78536
AACNTOLCQZSBRY-UHFFFAOYSA-N,Q07912
AACVZUDANADSGF-UHFFFAOYSA-N,Q05941
AACWQSNBYLQWIF-UHFFFAOYSA-N,Q07523
AACWUFIIMOHGSO-UHFFFAOYSA-N,Q12809
AACZCKZTUMTPKO-UHFFFAOYSA-N,P32238
AACZCKZTUMTPKO-UHFFFAOYSA-N,P32239
AADBLBDNKSDEHY-UHFFFAOYSA-N,P97612
AADBLBDNKSDEHY-UHFFFAOYSA-N,Q6RI86
