"ChemicalID";"Inchi_Key";"Canonical_Smiles";FDA_Approved
"CHEMBL492934";"AAAAEENPAALFRN-UHFFFAOYSA-N";"COc1cc(C(C)C)c(Oc2cnc(NCCS(=O)(=O)C)nc2N)cc1I";0
"carboline analog, 29";"AAAAKTROWFNLEP-UHFFFAOYSA-N";"CC1CNC(=O)c2[nH]c3ccc(cc3c12)C(=O)N(C)C";0
"CHEMBL221553";"AAABTPAECTZDET-UHFFFAOYSA-N";"Cc1ccc(O)cc1Nc2cc(nc(n2)n3cnc4ccccc34)N5CCOCC5";0
"CHEMBL3105203";"AAADMRIIAVPPNA-UHFFFAOYSA-N";"FC(F)(F)Sc1ccc(cc1)C(=O)N2CCN3C(=O)c4ccccc4C23c5ccccc5";0
"CHEMBL495028";"AAADPBLPXCELKR-UHFFFAOYSA-N";"CN1CCN(Cc2cccc(c2)C(=O)NCc3cccc(c3)c4cccc(CN5CCNCC5)c4)CC1";0
"CHEMBL336100";"AAADQEFQWNJHOZ-UHFFFAOYSA-N";"OC1(N2CCN=C2c3c(F)cccc13)c4ccc(Cl)cc4";0
"CHEMBL1915983";"AAAGFCUDAXPDAA-CIQZPUONSA-N";"COC[C@H]1CCN([C@@H](C)C(=O)N[C@@H](Cc2cc(F)cc(F)c2)[C@H](O)CNCc3cccc(OC)c3)C1=O";0
"CHEMBL474208";"AAAHTCZONLHYSA-UHFFFAOYSA-N";"Nc1ccccc1NC(=O)c2ccc(s2)C(=O)Nc3cccc(Nc4ncc(s4)c5cccnc5)c3";0
"CHEMBL173124";"AAALFTUMOWSRRM-UHFFFAOYSA-N";"NC(=O)C1CCc2c(C1)[nH]c3ccc(Cl)cc23";0
"DAPH";"AAALVYBICLMAMA-UHFFFAOYSA-N";"O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc4ccccc4)cc12";0
"CHEMBL2323020";"AAAMYWMNTPTTKE-ABKXIKBNSA-N";"C[C@@H]1CN(CCN1S(=O)(=O)c2ncc(s2)[C@](O)(C(=O)N)C(F)(F)F)c3ccc(F)cc3C(F)(F)F";0
"CHEMBL2323019";"AAAMYWMNTPTTKE-JDNHERCYSA-N";"C[C@@H]1CN(CCN1S(=O)(=O)c2ncc(s2)[C@@](O)(C(=O)N)C(F)(F)F)c3ccc(F)cc3C(F)(F)F";0
"CHEMBL1760216";"AAANLCCSPMLHMI-UHFFFAOYSA-N";"COc1ccccc1N2CCN(CC2)C(=O)c3cc(n[nH]3)c4ccncc4";0
"CHEMBL293573";"AAAOOWKRAKCLLN-HKJPSFBCSA-N";"CO[C@@H]1O[C@H](COC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H](O)[C@H](OC(=O)\C=C\c3ccc(O)c(O)c3)[C@H]1O";0
"CHEMBL301656";"AAAOOWKRAKCLLN-OSXNDPRKSA-N";"CO[C@H]1O[C@H](COC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H](O)[C@H](OC(=O)\C=C\c3ccc(O)c(O)c3)[C@H]1O";0
"CHEMBL1800663";"AAAOTGDHZDZLFN-UHFFFAOYSA-N";"CONC(=O)Nc1ccc(cc1)c2sc3N(Cc4c(F)cccc4F)C(=O)N(C(=O)c3c2CN(C)CCc5ccccn5)c6ccccc6";0
"GSK 525762A";"AAAQFGUYHFJNHI-SFHVURJKSA-N";"CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c3cc(OC)ccc3n4c(C)nnc14";0
"CHEMBL237018";"AAASTTXAYJCATC-UHFFFAOYSA-N";"CCCCCc1ccc(cc1)S(=O)(=O)NCCc2nc([nH]c2c3ccc(OC)cc3)c4ccc(OC)cc4";0
"aminoisoquinoline, 15";"AAAXBDFZRXKRPL-UHFFFAOYSA-N";"CNc1cc(ncn1)c2cccnc2Nc3c(C)ccc4c(Nc5cccc(c5)C#C)nccc34";0
