Accession1,Accession2,Similarity_Score
P41231,Q969V1,0.12
P41231,P37288,0.09
P41231,Q9ESG6,0.15
P41231,Q9H1C0,0.14
P41231,O43603,0.11
P41231,P79350,0.16
P41231,P49285,0.07
P41231,P41597,0.12
P41231,Q6IYF9,0.17
P41231,Q9H244,0.14
P41231,P51582,0.47
P41231,O88319,0.06
P41231,Q16581,0.09
P41231,Q9UKP6,0.08
P41231,P21462,0.14
P41231,P35463,0.11
P41231,P61169,0.07
P41231,P20288,0.07
P41231,P30559,0.07
P41231,P21556,0.16
P41231,P29089,0.13
P41231,Q6Y1R5,0.24
P41231,P18841,0.07
P41231,Q99705,0.12
P41231,Q15722,0.09
P41231,Q13304,0.22
P41231,P41143,0.13
P41231,P52702,0.07
P41231,Q96P65,0.1
P41231,P33533,0.13
P41231,P46663,0.09
P41231,P30969,0.07
P41231,P19020,0.07
P41231,P25024,0.12
P41231,P32248,0.12
P41231,P30411,0.12
P41231,P35346,0.16
P41231,O08726,0.11
P41231,O15552,0.1
P41231,P35372,0.16
P41231,P50052,0.14
P41231,P30875,0.17
P41231,P31391,0.15
P41231,P32302,0.13
P41231,Q2NNR5,0.2
P41231,P25116,0.18
P41231,P51680,0.13
P41231,O54814,0.14
P41231,Q63931,0.07
P41231,P25105,0.16
P41231,P41146,0.12
P41231,Q80Z39,0.14
P41231,Q5KSK8,0.09
P41231,P97639,0.12
P41231,P18130,0.07
P41231,P50391,0.07
P41231,P30873,0.16
P41231,Q8TDS4,0.16
P41231,Q00788,0.06
P41231,Q3U6B2,0.18
P41231,P49652,0.3
P41231,P49660,0.16
P41231,P30547,0.09
P41231,O60755,0.08
P41231,P51685,0.13
P41231,P41144,0.15
P41231,P49019,0.16
P41231,P30968,0.07
P41231,P46092,0.07
P41231,P61168,0.07
P41231,O54798,0.11
P41231,P49682,0.1
P41231,P43140,0.09
P41231,P48748,0.09
P41231,Q924U1,0.07
P41231,P35383,0.84
P41231,P35344,0.12
P41231,Q99527,0.1
P41231,P30555,0.13
P41231,Q15077,0.26
P41231,O43614,0.08
P41231,P25929,0.11
P41231,O88410,0.08
P41231,O55193,0.12
P41231,P20789,0.07
P41231,Q95254,0.09
P41231,Q92847,0.1
P41231,O14842,0.06
P41231,O43613,0.07
P41231,Q9BDS8,0.11
P41231,Q9GJU1,0.07
P41231,Q9Y5Y4,0.13
P41231,Q9BXA5,0.18
P41231,P41595,0.07
P41231,P30098,0.1
P41231,Q6XKD3,0.12
P41231,P49681,0.14
P41231,P48145,0.12
P41231,Q9Y2T6,0.09
P41231,P26684,0.09
P41231,P51683,0.12
P41231,Q8TCW9,0.09
P41231,P30552,0.07
P41231,Q96G91,0.12
P41231,Q14330,0.12
P41231,P56481,0.07
P41231,P30680,0.16
P41231,P25104,0.13
P41231,P55085,0.18
P41231,P16177,0.11
P41231,Q9EP66,0.14
P41231,P97266,0.09
P41231,Q9BDQ5,0.1
P41231,P32246,0.15
P41231,P51679,0.13
P41231,P79291,0.11
P41231,P28336,0.09
P41231,P21452,0.12
P41231,P30874,0.17
P41231,P42866,0.16
P41231,P48039,0.06
P41231,P33534,0.15
P41231,Q1ZY22,0.12
P41231,P51677,0.12
P41231,P61073,0.15
P41231,Q8TDS5,0.13
P41231,P35377,0.12
P41231,P70536,0.07
P41231,P30728,0.07
P41231,Q9Z2J6,0.12
P41231,P35348,0.08
P41231,Q29010,0.09
P41231,O08725,0.09
P41231,P32247,0.1
P41231,P32300,0.13
P41231,P69332,0.1
P41231,O08565,0.15
P41231,P51684,0.14
P41231,P48302,0.1
P41231,Q969F8,0.07
P41231,P25103,0.09
P41231,P30550,0.08
P41231,P30872,0.16
P41231,Q96P68,0.23
P41231,P30556,0.13
P41231,O70526,0.13
P41231,Q96LB2,0.06
P41231,P47901,0.07
P41231,P35462,0.07
P41231,P51681,0.11
P41231,P30518,0.06
P41231,P16610,0.1
P41231,P34976,0.13
P41231,P97583,0.09
P41231,P34975,0.15
P41231,P61814,0.11
P41231,Q9NPC1,0.08
P41231,Q9EPX4,0.13
P41231,P97520,0.12
P41231,O43193,0.09
P41231,P25101,0.09
P41231,P25025,0.1
P41231,O08858,0.13
P41231,P41145,0.13
P41231,P35414,0.15
P41231,Q9Y271,0.17
P41231,P51675,0.13
P41231,P30989,0.07
P41231,P14600,0.09
P41231,P35351,0.15
P41231,P33535,0.16
P41231,P08173,0.06
P41231,Q8K418,0.11
P41231,P21730,0.1
P41231,Q6W5P4,0.06
P41231,P30935,0.11
P41231,P25095,0.13
P41231,P32745,0.12
P41231,Q9HC97,0.13
P41231,P48974,0.07
P41231,P51678,0.14
P41231,Q9JII9,0.08
P41231,Q8MJ89,0.12
P41231,O08556,0.12
P41231,Q9WV26,0.13
P41231,Q99P50,0.09
P41231,Q3BCU0,0.09
P41231,Q61614,0.1
P41231,Q63371,0.27
P41231,P32239,0.07
P41231,P51682,0.12
P41231,P35370,0.12
P41231,P29371,0.12
P41231,P21451,0.11
P41231,P14416,0.07
P41231,Q9MYW9,0.18
P41231,Q64077,0.12
P41231,Q8VIH9,0.08
P41231,Q5DUB1,0.09
P41231,Q8JZL2,0.12
P41231,P49684,0.08
P41231,P47900,0.28
P41231,P32211,0.06
P41231,P33766,0.14
P41231,P30553,0.07
P41231,Q62805,0.07
P41231,Q9NS75,0.19
P41231,P24530,0.1
P41231,P02699,0.07
P41231,P21729,0.09
P41231,P32249,0.19
P41231,P49286,0.07
P41231,P51686,0.15
P41231,P30548,0.09
P41231,P25106,0.14
P41231,P46002,0.16
P52788,Q9WZC2,0.07
P41226,Q13564,0.03
P41226,P22314,0.43
P41226,Q9UBE0,0.05
P41226,A0AVT1,0.29
P04415,Q38087,0.63
P04415,P28340,0.03
O95045,P12758,0.09
O95045,P0A1F6,0.09
O95045,P52624,0.62
O95045,Q16831,0.61
P15917,P40136,0.08
P26827,O82839,0.03
P26827,P13507,0.04
P26827,P05618,0.69
P26827,P29957,0.04
P26827,P00692,0.04
P26827,Q9KFR4,0.07
P26827,P00689,0.05
P26827,P30920,0.69
P26827,P00691,0.04
P26827,P53051,0.04
P26827,P04746,0.04
P26827,Q60053,0.06
P26827,O69007,0.08
P26827,P80099,0.06
P26827,P38940,0.08
P26827,P19531,0.43
P26827,Q07837,0.06
P26827,P06278,0.05
P26827,P36924,0.03
P26827,Q08751,0.08
P26827,P00690,0.04
P26827,P19961,0.04
P26827,Q9ZEU2,0.04
O95718,P37238,0.11
O95718,P10276,0.16
O95718,O35627,0.12
O95718,P23204,0.11
O95718,P49881,0.11
O95718,P10828,0.13
O95718,Q59FW3,0.14
O95718,P51450,0.09
O95718,Q03181,0.1
O95718,P18113,0.12
O95718,P19785,0.25
O95718,P55055,0.07
O95718,Q07869,0.11
O95718,P37230,0.11
O95718,Q9Y5X4,0.15
O95718,P22199,0.15
O95718,Q14541,0.16
O95718,Q96RI1,0.12
O95718,P51449,0.08
O95718,P06537,0.17
O95718,P11473,0.09
O95718,P28700,0.21
O95718,O00482,0.11
O95718,P04150,0.17
O95718,Q62986,0.24
O95718,Q13133,0.14
O95718,P35396,0.1
O95718,P15207,0.14
O95718,P08235,0.15
O95718,Q05343,0.21
O95718,P49884,0.25
O95718,P06211,0.25
O95718,O08537,0.24
O95718,P62508,0.66
O95718,P18911,0.17
O95718,P37231,0.11
O95718,P11474,0.44
O95718,P10589,0.19
O95718,Q13285,0.11
O95718,P06186,0.18
O95718,Q14994,0.12
O95718,P06536,0.17
O95718,P10275,0.13
O95718,P28702,0.2
O95718,P19091,0.14
O95718,O88275,0.11
O95718,P41235,0.17
O95718,Q92731,0.23
O95718,P22605,0.17
O95718,P07812,0.17
O95718,P11416,0.16
O95718,P13053,0.13
O95718,Q5BJR8,0.2
O95718,P43354,0.17
O95718,P28704,0.19
O95718,P10826,0.17
O95718,P06401,0.17
O95718,O42392,0.12
O95718,O75469,0.09
O95718,P22736,0.17
O95718,P19793,0.21
O95718,P49116,0.09
O95718,P03372,0.25
O95718,P48443,0.21
O95718,P63059,0.13
O95718,P35398,0.09
O95718,O18531,0.12
O95718,P10827,0.13
O95718,Q92753,0.09
O95718,P34021,0.08
O95718,Q63449,0.17
O95718,Q28037,0.13
O95718,P49743,0.19
O95718,P13631,0.17
O95718,P28705,0.21
O74189,Q99470,0.04
P13866,Q923I7,0.62
P13866,Q9GZV3,0.05
P13866,P31639,0.6
P13866,Q8BGY9,0.05
P13866,Q8WWX8,0.49
P13866,Q63008,0.07
P13866,P53790,0.86
P13866,Q9JMD7,0.05
P13866,Q9Y289,0.07
P13866,P53792,0.62
P13866,Q9NY91,0.73
O14732,P29218,0.58
O14732,P20456,0.58
Q06486,Q07014,0.06
Q06486,P11309,0.06
Q06486,Q9Y6M4,0.42
Q06486,Q8TD19,0.06
Q06486,Q8BK63,0.57
Q06486,P16092,0.06
Q06486,O75385,0.06
Q06486,Q6PHR2,0.06
Q06486,P16591,0.07
Q06486,Q13882,0.07
Q06486,Q15208,0.05
Q06486,Q05397,0.06
Q06486,Q13153,0.07
Q06486,Q9HC98,0.06
Q06486,Q9Y243,0.06
Q06486,Q9UL54,0.07
Q06486,O94768,0.05
Q06486,O75582,0.06
Q06486,Q9NRP7,0.06
Q06486,O15075,0.07
Q06486,Q96GD4,0.06
Q06486,Q7KZI7,0.07
Q06486,Q8TD08,0.06
Q06486,Q13233,0.07
Q06486,Q13164,0.06
Q06486,Q13555,0.06
Q06486,P9WI81,0.08
Q06486,Q8TDX7,0.06
Q06486,Q9NR20,0.06
Q06486,P42679,0.06
Q06486,Q61214,0.06
Q06486,P00530,0.07
Q06486,P14234,0.07
Q06486,O70126,0.07
Q06486,Q9P289,0.06
Q06486,P05132,0.06
Q06486,Q04759,0.06
Q06486,Q63470,0.06
Q06486,Q8IWQ3,0.07
Q06486,P45984,0.06
Q06486,A9UF02,0.08
Q06486,P00521,0.08
Q06486,O19175,0.24
Q06486,P07947,0.08
Q06486,Q9NYY3,0.06
Q06486,Q05655,0.06
Q06486,Q9Y4K4,0.06
Q06486,Q6ZN16,0.06
Q06486,O14920,0.06
Q06486,P00519,0.08
Q06486,O00311,0.08
Q06486,P31751,0.06
Q06486,P22612,0.07
Q06486,Q15569,0.06
Q06486,Q923T9,0.06
Q06486,P00523,0.07
Q06486,P47811,0.06
Q06486,P11798,0.06
Q06486,Q4JIM5,0.08
Q06486,P78368,0.42
Q06486,P57059,0.07
Q06486,Q96PF2,0.05
Q06486,O14965,0.08
Q06486,P07948,0.05
Q06486,Q8N5S9,0.06
Q06486,P06239,0.06
Q06486,P63185,0.07
Q06486,Q9Y6E0,0.05
Q06486,Q13976,0.06
Q06486,Q9UQM7,0.06
Q06486,Q9JMK2,0.81
Q06486,P17612,0.06
Q06486,P19525,0.05
Q06486,P28867,0.06
Q06486,Q99759,0.06
Q06486,P00517,0.07
Q06486,Q80XI6,0.07
Q06486,P27791,0.06
Q06486,Q9H2X6,0.06
Q06486,Q6P6U0,0.07
Q06486,P11275,0.06
Q06486,O88351,0.07
Q06486,O94804,0.06
Q06486,P22607,0.06
Q06486,P28652,0.07
Q06486,Q9UQB9,0.06
Q06486,O75116,0.06
Q06486,P97477,0.08
Q06486,Q64725,0.07
Q06486,Q07002,0.06
Q06486,P50750,0.06
Q06486,O75914,0.07
Q06486,Q92772,0.05
Q06486,Q13237,0.05
Q06486,O00506,0.06
Q06486,Q96NX5,0.06
Q06486,Q8IYT8,0.06
Q06486,Q99683,0.06
Q06486,P12931,0.07
Q06486,O15530,0.06
Q06486,Q9JI10,0.05
Q06486,P00546,0.05
Q06486,Q9NZJ5,0.05
Q06486,P45983,0.05
Q06486,P09215,0.05
Q06486,Q16584,0.07
Q06486,P00520,0.08
Q06486,P18654,0.06
Q06486,Q02111,0.06
Q06486,P00524,0.07
Q06486,P53355,0.05
Q06486,Q9UIK4,0.06
Q06486,Q9P286,0.06
Q06486,Q9UK32,0.05
Q06486,O14757,0.06
Q06486,Q9WUD9,0.07
Q06486,Q09137,0.06
Q06486,Q15139,0.06
